lat,lon
24.896,67.0563
24.8963,67.0566
24.8963,67.0567
24.8963,67.057
24.8964,67.0575
24.8964,67.0579
24.8964,67.0584
24.8964,67.0588
24.8964,67.0592
24.8964,67.0597
24.8964,67.0601
24.8964,67.0606
24.8964,67.0606
24.896,67.0612
24.8962,67.0613
24.8963,67.0614
24.8963,67.0614
24.8963,67.0615
24.8963,67.0617
24.8963,67.0619
24.8967,67.0622
24.8969,67.0623
24.8971,67.0625
24.8964,67.0635
24.8952,67.0653
24.8953,67.0654
24.8958,67.0658
24.8961,67.0661
24.8962,67.0662
24.8965,67.0664
24.8965,67.0665
24.8966,67.0666
24.8967,67.0667
24.8968,67.0668
24.897,67.0672
24.8975,67.0678
24.8976,67.068
24.8979,67.0684
24.8979,67.0684
24.8982,67.0688
24.8985,67.0693
